Date,Sonar snowDepth
10/1/2007,0.04
10/2/2007,0.03
10/3/2007,0
10/4/2007,0
10/5/2007,0
10/6/2007,0
10/7/2007,0
10/8/2007,0
10/9/2007,0
10/10/2007,0
10/11/2007,0
10/12/2007,0
10/13/2007,0.06
10/14/2007,0.14
10/15/2007,0.1
10/16/2007,0.09
10/17/2007,0.26
10/18/2007,0.33
10/19/2007,0.25
10/20/2007,0.16
10/21/2007,0.37
10/22/2007,0.33
10/23/2007,0.23
10/24/2007,0.19
10/25/2007,0.16
10/26/2007,0.15
10/27/2007,0.12
10/28/2007,0.12
10/29/2007,0.12
10/30/2007,0.12
10/31/2007,0.11
11/1/2007,0.12
11/2/2007,0.11
11/3/2007,0.11
11/4/2007,0.11
11/5/2007,0.1
11/6/2007,0.11
11/7/2007,0.1
11/8/2007,0.1
11/9/2007,0.09
11/10/2007,0.09
11/11/2007,0.09
11/12/2007,0.07
11/13/2007,0.06
11/14/2007,0.03
11/15/2007,0.03
11/16/2007,0.02
11/17/2007,0.03
11/18/2007,0.02
11/19/2007,0.02
11/20/2007,0.03
11/21/2007,0.07
11/22/2007,0.04
11/23/2007,0.17
11/24/2007,0.21
11/25/2007,0.17
11/26/2007,0.14
11/27/2007,0.14
11/28/2007,0.12
11/29/2007,0.12
11/30/2007,0.17
12/1/2007,0.79
12/2/2007,0.8
12/3/2007,0.73
12/4/2007,0.69
12/5/2007,0.65
12/6/2007,0.66
12/7/2007,0.86
12/8/2007,1.03
12/9/2007,1.07
12/10/2007,1.12
12/11/2007,1.23
12/12/2007,1.17
12/13/2007,1.1
12/14/2007,1.06
12/15/2007,1.02
12/16/2007,1
12/17/2007,0.99
12/18/2007,0.96
12/19/2007,0.97
12/20/2007,0.99
12/21/2007,1.04
12/22/2007,1.03
12/23/2007,1.1
12/24/2007,1.05
12/25/2007,1.21
12/26/2007,1.14
12/27/2007,1.12
12/28/2007,1.09
12/29/2007,1.08
12/30/2007,1.1
12/31/2007,1.19
1/1/2008,1.14
1/2/2008,1.11
1/3/2008,1.09
1/4/2008,1.12
1/5/2008,1.23
1/6/2008,1.66
1/7/2008,1.66
1/8/2008,1.67
1/9/2008,1.7
1/10/2008,1.78
1/11/2008,1.74
1/12/2008,1.77
1/13/2008,1.69
1/14/2008,1.63
1/15/2008,1.58
1/16/2008,1.58
1/17/2008,1.54
1/18/2008,1.54
1/19/2008,1.54
1/20/2008,1.51
1/21/2008,1.49
1/22/2008,1.47
1/23/2008,1.45
1/24/2008,1.52
1/25/2008,1.64
1/26/2008,1.59
1/27/2008,1.57
1/28/2008,1.87
1/29/2008,1.88
1/30/2008,1.95
1/31/2008,1.95
2/1/2008,2
2/2/2008,2.07
2/3/2008,2.07
2/4/2008,2.18
2/5/2008,2.17
2/6/2008,2.15
2/7/2008,2.23
2/8/2008,2.26
2/9/2008,2.17
2/10/2008,2.12
2/11/2008,2.08
2/12/2008,2.05
2/13/2008,2.02
2/14/2008,2.39
2/15/2008,2.52
2/16/2008,2.4
2/17/2008,2.43
2/18/2008,2.38
2/19/2008,2.62
2/20/2008,2.26
2/21/2008,2.3
2/22/2008,2.26
2/23/2008,2.41
2/24/2008,2.38
2/25/2008,2.65
2/26/2008,2.58
2/27/2008,2.5
2/28/2008,2.44
2/29/2008,2.38
3/1/2008,2.34
3/2/2008,2.38
3/3/2008,2.35
3/4/2008,2.32
3/5/2008,2.38
3/6/2008,2.41
3/7/2008,2.35
3/8/2008,2.33
3/9/2008,2.38
3/10/2008,2.34
3/11/2008,2.35
3/12/2008,2.31
3/13/2008,2.38
3/14/2008,2.4
3/15/2008,2.39
3/16/2008,2.35
3/17/2008,2.38
3/18/2008,2.35
3/19/2008,2.29
3/20/2008,2.27
3/21/2008,2.3
3/22/2008,2.26
3/23/2008,2.24
3/24/2008,2.21
3/25/2008,2.19
3/26/2008,2.16
3/27/2008,2.12
3/28/2008,2.09
3/29/2008,2.1
3/30/2008,2.08
3/31/2008,2.28
4/1/2008,2.3
4/2/2008,2.24
4/3/2008,2.32
4/4/2008,2.27
4/5/2008,2.23
4/6/2008,2.25
4/7/2008,2.36
4/8/2008,2.31
4/9/2008,2.38
4/10/2008,2.55
4/11/2008,2.89
4/12/2008,2.8
4/13/2008,2.68
4/14/2008,2.58
4/15/2008,2.49
4/16/2008,2.42
4/17/2008,2.43
4/18/2008,2.4
4/19/2008,2.35
4/20/2008,2.29
4/21/2008,2.25
4/22/2008,2.22
4/23/2008,2.16
4/24/2008,1.12
4/25/2008,2.1
4/26/2008,2.09
4/27/2008,2.06
4/28/2008,2.03
4/29/2008,1.99
4/30/2008,1.95
5/1/2008,2.02
5/2/2008,2.12
5/3/2008,2.03
5/4/2008,1.97
5/5/2008,1.93
5/6/2008,1.88
5/7/2008,1.8
5/8/2008,2
5/9/2008,1.9
5/10/2008,1.99
5/11/2008,1.9
5/12/2008,1.85
5/13/2008,2.02
5/14/2008,1.91
5/15/2008,1.91
5/16/2008,1.87
5/17/2008,1.78
5/18/2008,1.7
5/19/2008,1.65
5/20/2008,1.57
5/21/2008,1.47
5/22/2008,1.49
5/23/2008,1.56
5/24/2008,1.62
5/25/2008,1.54
5/26/2008,1.46
5/27/2008,1.4
5/28/2008,1.32
5/29/2008,1.23
5/30/2008,1.17
5/31/2008,1.09
6/1/2008,1
6/2/2008,0.89
6/3/2008,0.84
6/4/2008,0.8
6/5/2008,0.83
6/6/2008,0.8
6/7/2008,0.7
6/8/2008,0.63
6/9/2008,0.57
6/10/2008,0.47
6/11/2008,0.4
6/12/2008,0.33
6/13/2008,0.27
6/14/2008,0.18
6/15/2008,0.1
6/16/2008,0
6/17/2008,0
6/18/2008,0
6/19/2008,0
6/20/2008,0
6/21/2008,0
6/22/2008,0
6/23/2008,0
6/24/2008,0
6/25/2008,0
6/26/2008,0
6/27/2008,0
6/28/2008,0
6/29/2008,0
6/30/2008,0
